ep,accuracy
0,0.125
1,0.578125
2,0.40625
3,0.421875
4,0.375
5,0.625
6,0.546875
7,0.421875
8,0.140625
9,0.15625
10,0.21875
11,0.171875
12,0.09375
13,0.078125
14,0.15625
15,0.15625
16,0.15625
17,0.171875
18,0.171875
19,0.09375
20,0.15625
21,0.171875
22,0.203125
23,0.515625
24,0.390625
25,0.265625
26,0.6875
27,0.203125
28,0.71875
29,0.515625
30,0.375
31,0.609375
32,0.6875
33,0.90625
34,0.890625
35,0.4375
36,0.734375
37,0.9375
38,0.46875
39,0.875
40,0.921875
41,0.921875
42,0.9375
43,0.796875
44,0.921875
45,0.921875
46,0.9375
47,0.875
48,0.828125
49,0.921875
50,0.953125
51,0.953125
52,0.640625
53,0.828125
54,0.78125
55,0.75
56,0.78125
57,0.890625
58,0.9375
59,0.90625
60,0.84375
61,0.953125
62,0.90625
63,1.0
64,0.984375
65,1.0
66,1.0
67,0.984375
68,1.0
69,0.984375
70,1.0
71,1.0
72,1.0
73,0.96875
74,0.4375
75,0.6875
76,0.96875
77,0.71875
78,0.859375
79,0.796875
80,0.796875
81,0.734375
82,0.953125
83,0.96875
84,0.96875
85,0.96875
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,0.953125
92,1.0
93,0.9375
94,0.625
95,0.609375
96,0.734375
97,0.734375
98,0.703125
99,0.6875
100,0.765625
