ep,accuracy
0,0.078125
1,0.5
2,0.1875
3,0.171875
4,0.25
5,0.625
6,0.421875
7,0.140625
8,0.0625
9,0.21875
10,0.578125
11,0.515625
12,0.5625
13,0.5
14,0.359375
15,0.640625
16,0.609375
17,0.21875
18,0.5
19,0.59375
20,0.453125
21,0.6875
22,0.734375
23,0.640625
24,0.609375
25,0.625
26,0.5625
27,0.6875
28,0.640625
29,0.578125
30,0.578125
31,0.609375
32,0.59375
33,0.609375
34,0.625
35,0.5625
36,0.640625
37,0.59375
38,0.6875
39,0.625
40,0.609375
41,0.578125
42,0.625
43,0.609375
44,0.546875
45,0.640625
46,0.625
47,0.59375
48,0.65625
49,0.6875
50,0.671875
51,0.65625
52,0.484375
53,0.65625
54,0.671875
55,0.6875
56,0.703125
57,0.625
58,0.6875
59,0.71875
60,0.640625
61,0.703125
62,0.71875
63,0.78125
64,0.78125
65,0.703125
66,0.875
67,0.75
68,0.671875
69,0.828125
70,0.6875
71,0.828125
72,0.78125
73,0.875
74,0.78125
75,0.84375
76,0.75
77,0.828125
78,0.828125
79,0.90625
80,0.875
81,0.875
82,0.859375
83,0.859375
84,0.765625
85,0.875
86,0.84375
87,0.84375
88,0.890625
89,0.875
90,0.90625
91,0.875
92,0.921875
93,0.875
94,0.921875
95,0.890625
96,0.90625
97,0.734375
98,0.734375
99,0.828125
100,0.78125
