ep,accuracy
0,0.09375
1,0.125
2,0.5625
3,0.171875
4,0.546875
5,0.140625
6,0.21875
7,0.453125
8,0.15625
9,0.109375
10,0.203125
11,0.109375
12,0.171875
13,0.4375
14,0.21875
15,0.21875
16,0.34375
17,0.375
18,0.296875
19,0.4375
20,0.484375
21,0.53125
22,0.53125
23,0.3125
24,0.53125
25,0.625
26,0.609375
27,0.609375
28,0.625
29,0.640625
30,0.640625
31,0.453125
32,0.609375
33,0.65625
34,0.546875
35,0.71875
36,0.640625
37,0.484375
38,0.703125
39,0.6875
40,0.671875
41,0.5625
42,0.65625
43,0.546875
44,0.640625
45,0.5
46,0.671875
47,0.6875
48,0.671875
49,0.671875
50,0.71875
51,0.703125
52,0.65625
53,0.640625
54,0.71875
55,0.734375
56,0.6875
57,0.671875
58,0.734375
59,0.671875
60,0.734375
61,0.734375
62,0.71875
63,0.765625
64,0.796875
65,0.71875
66,0.8125
67,0.796875
68,0.78125
69,0.828125
70,0.796875
71,0.84375
72,0.828125
73,0.796875
74,0.859375
75,0.8125
76,0.875
77,0.828125
78,0.796875
79,0.875
80,0.765625
81,0.84375
82,0.84375
83,0.796875
84,0.859375
85,0.84375
86,0.890625
87,0.90625
88,0.90625
89,0.875
90,0.9375
91,0.890625
92,0.84375
93,0.9375
94,0.84375
95,0.8125
96,0.875
97,0.875
98,0.90625
99,0.859375
100,0.875
